window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_7249	11.04	4.67	8.38	4.18	0.09	6.49	3.26	9.78	7.35
window_7250	11.04	4.67	8.38	4.18	0.09	6.49	3.26	9.78	7.35
window_7306	20.76	8.83	11.03	16.31	2.26	13.24	22.05	16.56	16.97
window_7320	2.97	1.21	3.93	2.16	0.03	3.92	1.05	5.07	1.35
window_7343	46.83	18.55	30.2	30.34	0.12	25.11	16.14	36.01	32.54
window_7352	70.89	9.57	135.36	185.3	0.02	76.07	136.19	1734.52	463.28
window_7387	199.15	17.03	457.18	751.29	0	231.4	316.08	3514.28	779.99
window_7498	3.89	4.62	5.97	7.08	0.09	2.36	2.42	8.24	3.94
window_7501	0.09	0.09	0.09	0.35	0	0.07	1.58	39.14	0.01
window_7519	0.1	0.68	0.08	0	0	1.94	0	0	0.05
window_7526	0.08	0	1.02	0.24	0.05	0.06	0.07	0.09	0.04
window_7607	5.35	5.35	12.17	3.31	0.07	1.41	2.39	14.91	3.2
window_7610	6.64	2.85	3.82	1.41	0.16	2.62	2.46	6.2	1.91
window_7763	139.14	36.84	46.93	22.65	0.12	23.94	6.37	134.43	39.42
window_7764	139.14	36.84	46.93	22.65	0.12	23.94	6.37	134.43	39.42
window_7776	10.205	9.81	4.535	22.63	0.045	10.195	3.67	16.495	11.885
window_7777	2.4	1.27	4.76	0.59	0	1.21	0.19	3.37	0.97
window_7802	0.33	0.59	0.56	0.52	0.06	0.37	0.38	1.42	0.63
window_7803	0.33	0.59	0.56	0.52	0.06	0.37	0.38	1.42	0.63
window_7804	0.33	0.59	0.56	0.52	0.06	0.37	0.38	1.42	0.63
window_7805	3.5	2.92	24.45	4.92	0.04	2.42	3.01	9.66	4.01
window_7838	9.8	2.05	14.03	0.73	0.36	3.25	2.02	13	8.46
